category,name
Adjective,Adamant
Adjective,Adroit
Adjective,Animistic
Adjective,Baleful
Adjective,Bellicose
Adjective,Bilious
Adjective,Boorish
Adjective,Broken
Adjective,Calamitous
Adjective,Caustic
Adjective,Cerulean
Adjective,Comely
Adjective,Concomitant
Adjective,Corpulent
Adjective,Crapulous
Adjective,Defamatory
Adjective,Dicey
Adjective,Dilatory
Adjective,Dull
Adjective,Efficacious
Adjective,Effulgent
Adjective,Egregious
Adjective,Endemic
Adjective,Entry Level
Adjective,Equanimous
Adjective,Execrable
Adjective,Fastidious
Adjective,Feckless
Adjective,Fecund
Adjective,Feeble
Adjective,Ferocious
Adjective,Friable
Adjective,Fulsome
Adjective,Garrulous
Adjective,Guileless
Adjective,Histrionic
Adjective,Ideal
Adjective,Incendiary
Adjective,Inept
Adjective,Infected
Adjective,Insidious
Adjective,Insolent
Adjective,Intransigent
Adjective,Inveterate
Adjective,Invidious
Adjective,Irksome
Adjective,Jocular
Adjective,Judicious
Adjective,Jumbo
Adjective,Lachrymose
Adjective,Limp
Adjective,Loquacious
Adjective,Luminous
Adjective,Mannered
Adjective,Mendacious
Adjective,Meretricious
Adjective,Minatory
Adjective,Mini
Adjective,Mordant
Adjective,Munificent
Adjective,NSFW
Adjective,Nefarious
Adjective,Nerdy
Adjective,New
Adjective,Noxious
Adjective,Obscene
Adjective,Obtuse
Adjective,Off-Color
Adjective,Old
Adjective,Overzealous
Adjective,Parsimonious
Adjective,Pendulous
Adjective,Pernicious
Adjective,Pervasive
Adjective,Petulant
Adjective,Phenemonal
Adjective,Piss Poor
Adjective,Platitudinous
Adjective,Propitious
Adjective,Puckish
Adjective,Querulous
Adjective,Quiescent
Adjective,Redolent
Adjective,Rhadamanthine
Adjective,Risible
Adjective,Rude
Adjective,Ruminative
Adjective,Sagacious
Adjective,Salubrious
Adjective,Sartorial
Adjective,Sclerotic
Adjective,Self-Driving
Adjective,Serpentine
Adjective,Sharp
Adjective,Taciturn
Adjective,Talking
Adjective,Tenacious
Adjective,Tremulous
Adjective,Trenchant
Adjective,Turbulent
Adjective,Turgid
Adjective,Ubiquitous
Adjective,Uxorious
Adjective,Verbose
Adjective,Verdant
Adjective,Volatile
Adjective,Voluble
Adjective,Voracious
Adjective,Wasted
Adjective,White
Adjective,Withering
Adjective,Zealous
Adverb,Abruptly
Adverb,Absurdly
Adverb,Adventurously
Adverb,Aggressively
Adverb,Aimlessly
Adverb,Alluringly
Adverb,Amusingly
Adverb,Anarchically
Adverb,Animatedly
Adverb,Audaciously
Adverb,Awestruckly
Adverb,Badly
Adverb,Bizarrely
Adverb,Blazingly
Adverb,Blissfully
Adverb,Boldly
Adverb,Brashly
Adverb,Bravely
Adverb,Breathtakingly
Adverb,Brightly
Adverb,Briskly
Adverb,Cagily
Adverb,Calculatingly
Adverb,Captivatingly
Adverb,Carelessly
Adverb,Charmingly
Adverb,Chillingly
Adverb,Cleverly
Adverb,Comically
Adverb,Courageously
Adverb,Covertly
Adverb,Craftily
Adverb,Crazily
Adverb,Cryptically
Adverb,Daringly
Adverb,Darkly
Adverb,Dazzlingly
Adverb,Deftly
Adverb,Delightfully
Adverb,Deliriously
Adverb,Demurely
Adverb,Dizzily
Adverb,Dreamily
Adverb,Dynamically
Adverb,Eccentrically
Adverb,Effortlessly
Adverb,Elegantly
Adverb,Elusively
Adverb,Enchantingly
Adverb,Energetically
Adverb,Enigmatically
Adverb,Ethereally
Adverb,Evocatively
Adverb,Exotically
Adverb,Explosively
Adverb,Fancifully
Adverb,Fearlessly
Adverb,Ferociously
Adverb,Feverishly
Adverb,Fiercely
Adverb,Fiery
Adverb,Flamboyantly
Adverb,Fleetingly
Adverb,Fluidly
Adverb,Frenziedly
Adverb,Frivolously
Adverb,Ghostly
Adverb,Gloomily
Adverb,Gracefully
Adverb,Gritty
Adverb,Groovily
Adverb,Hauntingly
Adverb,Heroically
Adverb,Hilariously
Adverb,Hypnotically
Adverb,Impulsively
Adverb,Incandescently
Adverb,Intrepidly
Adverb,Inventively
Adverb,Jovially
Adverb,Jubilantly
Adverb,Luminously
Adverb,Magically
Adverb,Majestically
Adverb,Melodically
Adverb,Mesmerizingly
Adverb,Mystically
Adverb,Mythically
Adverb,Nocturnally
Adverb,Optimistically
Adverb,Passionately
Adverb,Playfully
Adverb,Poetically
Adverb,Quirkily
Adverb,Radiantly
Adverb,Rebelliously
Adverb,Relentlessly
Adverb,Resonantly
Adverb,Rhythmically
Adverb,Whimsically
Famous,Adam Sandler
Famous,Agatha Christie
Famous,Albert Einstein
Famous,Alfred Hitchcock
Famous,Amelia Earhart
Famous,Audrey Hepburn
Famous,Billie Holiday
Famous,Bonnie and Clyde
Famous,Chad
Famous,Charlie Chaplin
Famous,Che Guevara
Famous,Deep Throat
Famous,Django Reinhardt
Famous,Donald Trump
Famous,Elvira
Famous,Elvis
Famous,Ernest Hemingway
Famous,Evita
Famous,Fidel Castro
Famous,Frida Kahlo
Famous,George Santos
Famous,Harry Houdini
Famous,Helen Keller
Famous,Henry Ford
Famous,Howard Hughes
Famous,Indira Gandhi
Famous,Isaac Asimov
Famous,Jackie Kennedy
Famous,Jane Goodall
Famous,Jim Jones
Famous,Jimmy Carter
Famous,Joan Baez
Famous,Joe Biden
Famous,Katharine Hepburn
Famous,Louis Armstrong
Famous,Magic Johnson
Famous,Marie Curie
Famous,Martin Luther King Jr.
Famous,Maya Angelou
Famous,Miss Cleo
Famous,Muhammad Ali
Famous,Neil Armstrong
Famous,Pope Francis
Famous,Queen Mum
Famous,Sigmund Freud
Famous,Sir Winston Churchill
Famous,Thomas Edison
Famous,Truman Capote
Famous,Vladimir Putin
Noun,Air
Noun,Android
Noun,Art
Noun,Bacon
Noun,Bags
Noun,Band
Noun,Bear
Noun,Bed
Noun,Body
Noun,Book
Noun,Business
Noun,Cadaver
Noun,Camp
Noun,Car
Noun,Cat
Noun,Cattle
Noun,Change
Noun,Child
Noun,City
Noun,Clowder
Noun,Community
Noun,Company
Noun,Country
Noun,Darkness
Noun,Disco
Noun,Dispair
Noun,Door
Noun,Education
Noun,Effect
Noun,Encryption
Noun,End
Noun,Eye
Noun,Face
Noun,Fact
Noun,Family
Noun,Father
Noun,Fire
Noun,Force
Noun,Friend
Noun,Game
Noun,Garbage
Noun,Girl
Noun,Government
Noun,Gum
Noun,Guy
Noun,Hand
Noun,Head
Noun,History
Noun,Home
Noun,Host
Noun,Hour
Noun,House
Noun,Idea
Noun,Idiot
Noun,Information
Noun,Job
Noun,Juice
Noun,Kia
Noun,Kid
Noun,Kitten
Noun,Lady
Noun,Law
Noun,Letter
Noun,Life
Noun,Line
Noun,Lot
Noun,Lover
Noun,Man
Noun,Meat
Noun,Member
Noun,Minute
Noun,Money
Noun,Month
Noun,Morning
Noun,Mother
Noun,Myst
Noun,Night
Noun,Number
Noun,Obama
Noun,Office
Noun,Others
Noun,Parent
Noun,Party
Noun,Pig
Noun,Pill
Noun,Place
Noun,Planet
Noun,Plant
Noun,Police
Noun,Power
Noun,President
Noun,Prey
Noun,Pride
Noun,Prius
Noun,Problem
Noun,Program
Noun,Question
Noun,Racket
Noun,Rage
Noun,Reason
Noun,Refugee
Noun,Research
Noun,Result
Noun,Right
Noun,Room
Noun,School
Noun,Science
Noun,Service
Noun,Silence
Noun,Sister
Noun,Skull
Noun,Slug
Noun,Spider
Noun,State
Noun,Story
Noun,Student
Noun,Swarm
Noun,System
Noun,Taxi
Noun,Teacher
Noun,Team
Noun,Tear
Noun,Tendril
Noun,Terrorist
Noun,Thing
Noun,Time
Noun,Tumor
Noun,Twist
Noun,Violence
Noun,Volvo
Noun,War
Noun,Water
Noun,Week
Noun,Woman
Noun,Work
Noun,World
Noun,Year
Verb,Add
Verb,Adore
Verb,Allow
Verb,Appear
Verb,Arrest
Verb,Ask
Verb,Bake
Verb,Bang
Verb,Be
Verb,Become
Verb,Begin
Verb,Believe
Verb,Bring
Verb,Build
Verb,Burn
Verb,Burst
Verb,Buy
Verb,Call
Verb,Change
Verb,Chase
Verb,Come
Verb,Consider
Verb,Continue
Verb,Countdown
Verb,Create
Verb,Cut
Verb,Damage
Verb,Die
Verb,Disappoint
Verb,Drain
Verb,Drop
Verb,End
Verb,Escape
Verb,Expect
Verb,Experiment
Verb,Fall
Verb,Fasten
Verb,Feather
Verb,Feel
Verb,Find
Verb,Fix
Verb,Flush
Verb,Follow
Verb,Forgive
Verb,Gather
Verb,Get
Verb,Give
Verb,Go
Verb,Grab
Verb,Grow
Verb,Hang
Verb,Hear
Verb,Help
Verb,Hold
Verb,Hug
Verb,Imagine
Verb,Include
Verb,Insult
Verb,Itch
Verb,Jog
Verb,Jump
Verb,Keep
Verb,Kick
Verb,Kill
Verb,Kiss
Verb,Knit
Verb,Know
Verb,Land
Verb,Lead
Verb,Learn
Verb,Leave
Verb,Like
Verb,Live
Verb,Lock
Verb,Look
Verb,Lose
Verb,Love
Verb,Make
Verb,March
Verb,Mean
Verb,Meet
Verb,Mix
Verb,Move
Verb,Need
Verb,Notice
Verb,Obey
Verb,Occupy
Verb,Offer
Verb,Open
Verb,Pass
Verb,Pay
Verb,Play
Verb,Promise
Verb,Provide
Verb,Put
Verb,Question
Verb,Race
Verb,Radicalize
Verb,Reach
Verb,Read
Verb,Remain
Verb,Remember
Verb,Return
Verb,Revolt
Verb,Rinse
Verb,Run
Verb,Say
Verb,Scatter
Verb,See
Verb,Send
Verb,Serve
Verb,Show
Verb,Sit
Verb,Speak
Verb,Spend
Verb,Stand
Verb,Start
Verb,Stay
Verb,Stop
Verb,Take
Verb,Talk
Verb,Tell
Verb,Think
Verb,Torment
Verb,Travel
Verb,Try
Verb,Turn
Verb,Understand
Verb,Underwelm
Verb,Untie
Verb,Use
Verb,Vanish
Verb,Visit
Verb,Vomit
Verb,Wait
Verb,Walk
Verb,Want
Verb,Watch
Verb,Win
Verb,Work
Verb,Write
Verb,Yawn
Verb,Yell
Verb,Zip
Verb,Zoom
